num|name
0111|Growing of cereals (except rice), leguminous crops and oil seeds
0112|Growing of rice
0113|Growing of vegetables and melons, roots and tubers
0114|Growing of sugar cane
0115|Growing of tobacco
0116|Growing of fibre crops
0119|Growing of other non-perennial crops
011|Growing of non-perennial crops
0121|Growing of grapes
0122|Growing of tropical and subtropical fruits
0123|Growing of citrus fruits
0124|Growing of pome fruits and stone fruits
0125|Growing of other tree and bush fruits and nuts
0126|Growing of oleaginous fruits
0127|Growing of beverage crops
0128|Growing of spices, aromatic, drug and pharmaceutical crops
0129|Growing of other perennial crops
0130|Plant propagation
013|Plant propagation
0141|Raising of cattle and buffaloes
0142|Raising of horses and other equines
0143|Raising of camels and camelids
0144|Raising of sheep and goats
0145|Raising of swine/pigs
0146|Raising of poultry
0149|Raising of other animals
014|Animal production
0150|Mixed farming
015|Mixed farming
0161|Support activities for crop production
0162|Support activities for animal production
0163|Post-harvest crop activities
0164|Seed processing for propagation
016|Support activities to agriculture and post-harvest crop activities
0170|Hunting, trapping and related service activities
017|Hunting, trapping and related service activities
01|Crop and animal production, hunting and related service activities
0210|Silviculture and other forestry activities
021|Silviculture and other forestry activities
0220|Logging
0230|Gathering of non-wood forest products
023|Gathering of non-wood forest products
0240|Support services to forestry
024|Support services to forestry
02|Forestry and logging
0311|Marine fishing
0312|Freshwater fishing
031|Fishing
0321|Marine aquaculture
0322|Freshwater aquaculture
032|Aquaculture
03|Fishing and aquaculture
0510|Mining of hard coal
051|Mining of hard coal
0520|Mining of lignite
052|Mining of lignite
05|Mining of coal and lignite
0610|Extraction of crude petroleum
061|Extraction of crude petroleum
0620|Extraction of natural gas
062|Extraction of natural gas
06|Extraction of crude petroleum and natural gas
0710|Mining of iron ores
071|Mining of iron ores
0721|Mining of uranium and thorium ores
0729|Mining of other non-ferrous metal ores
072|Mining of non-ferrous metal ores
07|Mining of metal ores
0810|Quarrying of stone, sand and clay
081|Quarrying of stone, sand and clay
0891|Mining of chemical and fertilizer minerals
0892|Extraction of peat
0893|Extraction of salt
0899|Other mining and quarrying n.e.c.
089|Mining and quarrying n.e.c.
08|Other mining and quarrying
0910|Support activities for petroleum and natural gas extraction
091|Support activities for petroleum and natural gas extraction
0990|Support activities for other mining and quarrying
09|Mining support service activities
1010|Processing and preserving of meat
101|Processing and preserving of meat
1020|Processing and preserving of fish, crustaceans and molluscs
102|Processing and preserving of fish, crustaceans and molluscs
1030|Processing and preserving of fruit and vegetables
103|Processing and preserving of fruit and vegetables
1040|Manufacture of vegetable and animal oils and fats
104|Manufacture of vegetable and animal oils and fats
1050|Manufacture of dairy products
105|Manufacture of dairy products
1061|Manufacture of grain mill products
1062|Manufacture of starches and starch products
106|Manufacture of grain mill products, starches and starch products
1071|Manufacture of bakery products
1072|Manufacture of sugar
1073|Manufacture of cocoa, chocolate and sugar confectionery
1074|Manufacture of macaroni, noodles, couscous and similar farinaceous products
1075|Manufacture of prepared meals and dishes
1079|Manufacture of other food products n.e.c.
107|Manufacture of other food products
1080|Manufacture of prepared animal feeds
108|Manufacture of prepared animal feeds
1101|Distilling, rectifying and blending of spirits
1102|Manufacture of wines
1103|Manufacture of malt liquors and malt
1104|Manufacture of soft drinks; production of mineral waters and other bottled waters
110|Manufacture of beverages
11|Manufacture of beverages
1200|Manufacture of tobacco products
120|Manufacture of tobacco products
12|Manufacture of tobacco products
1311|Preparation and spinning of textile fibres
1312|Weaving of textiles
1313|Finishing of textiles
1391|Manufacture of knitted and crocheted fabrics
1392|Manufacture of made-up textile articles, except apparel
1393|Manufacture of carpets and rugs
1394|Manufacture of cordage, rope, twine and netting
1399|Manufacture of other textiles n.e.c.
139|Manufacture of other textiles
13|Manufacture of textiles
1410|Manufacture of wearing apparel, except fur apparel
141|Manufacture of wearing apparel, except fur apparel
1420|Manufacture of articles of fur
142|Manufacture of articles of fur
143|Manufacture of knitted and crocheted apparel
14|Manufacture of wearing apparel
